TRT,Depth,n,mean,stdev,sterr
CTL,0-10,3,49.67666667,13.78225066,7.95718613
CTL,10-20,3,23,5.550675635,3.204684072
CTL,20-40,3,20.56666667,2.154839515,1.244097174
CTL,40-60,3,12.9,3.605551275,2.081665999
CTL,60-100,3,6.3,1.479864859,0.854400375
DL,0-10,3,49.43333333,17.57763731,10.14845363
DL,10-20,3,29.7,3.109662361,1.795364401
DL,20-40,3,19.2,2.951270913,1.703917056
DL,40-60,3,10.86666667,2.042873793,1.179453734
DL,60-100,3,8.1,2.722131518,1.571623365
DW,0-10,3,61.76666667,21.89094181,12.63874115
DW,10-20,3,34.6,21.13125647,12.20013661
DW,20-40,3,23.36666667,8.889506923,5.132359215
DW,40-60,3,13.46666667,6.171169527,3.562926388
DW,60-100,3,8.3,3.934463115,2.271563338
NI,0-10,3,41.43333333,5.316327053,3.069382855
NI,10-20,3,25.06666667,7.61730486,4.397853012
NI,20-40,3,15.13333333,4.966219219,2.867248003
NI,40-60,3,7.166666667,1.106044002,0.638574802
NI,60-100,3,4.133333333,1.814754345,1.04774891
NL,0-10,3,47.2,8.798295289,5.079698154
NL,10-20,3,23.93333333,4.630694692,2.673532827
NL,20-40,3,18.03333333,4.225320501,2.439489928
NL,40-60,3,11.5,5.173973328,2.987194894
NL,60-100,3,4.933333333,2.052640576,1.185092589
NOA,0-10,3,22.76666667,7.86786714,4.542515211
NOA,10-20,3,21.66666667,10.715565,6.186634339
NOA,20-40,3,17.4,5.47813837,3.162804663
NOA,40-60,3,11.96666667,2.103172207,1.21426704
NOA,60-100,3,5.566666667,1.703917056,0.983756971
NR,0-10,3,50.63333333,9.074322748,5.239062681
NR,10-20,3,27.86666667,1.985782801,1.146492235
NR,20-40,3,20.93333333,2.973774257,1.716909368
NR,40-60,3,9.133333333,1.026320288,0.592546294
NR,60-100,3,4.633333333,1.011599394,0.584047182
