"","TRT","Depth","n","mean","stdev","sterr"
"1","CTL","0-10",3,1.98333333333333,0.506194955855284,0.292251794025479
"2","CTL","10-20",3,1.19666666666667,0.235017729827631,0.135687549580317
"3","CTL","20-40",3,1.21,0.112694276695846,0.0650640709864771
"4","CTL","40-60",3,0.833333333333333,0.206478408879314,0.119210364948318
"5","CTL","60-100",3,0.446666666666667,0.105987420637231,0.0611918658356194
"6","DL","0-10",3,2.15,0.529150262212918,0.305505046330389
"7","DL","10-20",3,1.56,0.0529150262212919,0.030550504633039
"8","DL","20-40",3,1.12666666666667,0.182300118851671,0.105251022692313
"9","DL","40-60",3,0.67,0.175214154679352,0.101159939369957
"10","DL","60-100",3,0.526666666666667,0.178978583448784,0.103333333333333
"11","DW","0-10",3,2.19333333333333,0.538175931581238,0.310716018969805
"12","DW","10-20",3,1.37666666666667,0.465223960403302,0.26859717877231
"13","DW","20-40",3,1.28,0.367559518989782,0.21221058723196
"14","DW","40-60",3,0.753333333333333,0.225018517756502,0.129914501799367
"15","DW","60-100",3,0.57,0.245153013442625,0.141539158303748
"16","NI","0-10",3,1.73333333333333,0.161658075373095,0.0933333333333333
"17","NI","10-20",3,1.53333333333333,0.0971253485622232,0.0560753461375358
"18","NI","20-40",3,0.906666666666667,0.146401275039985,0.0845248155540398
"19","NI","40-60",3,0.466666666666667,0.0152752523165195,0.00881917103688198
"20","NI","60-100",3,0.366666666666667,0.117189305541646,0.0676592771006148
"21","NL","0-10",3,1.91666666666667,0.150443787951957,0.0868587614719692
"22","NL","10-20",3,1.25,0.121243556529821,0.07
"23","NL","20-40",3,1.09333333333333,0.123423390543824,0.0712585277547732
"24","NL","40-60",3,0.72,0.301164406927512,0.173877351409933
"25","NL","60-100",3,0.336666666666667,0.0814452781524707,0.0470224532655529
"26","NOA","0-10",3,1.11,0.34117444218464,0.196977156035922
"27","NOA","10-20",3,1.00666666666667,0.440605643782888,0.254383787044519
"28","NOA","20-40",3,0.92,0.127671453348037,0.0737111479583199
"29","NOA","40-60",3,0.686666666666667,0.0776745346515403,0.0448454134902457
"30","NOA","60-100",3,0.376666666666667,0.165630109984065,0.095626588585207
"31","NR","0-10",3,2.26666666666667,0.22722969289539,0.131191124361029
"32","NR","10-20",3,1.6,0.1,0.0577350269189626
"33","NR","20-40",3,1.33333333333333,0.0602771377334171,0.0348010216963685
"34","NR","40-60",3,0.646666666666667,0.0814452781524708,0.047022453265553
"35","NR","60-100",3,0.316666666666667,0.0585946527708232,0.0338296385503074
